Wavelength	lmw-9-100007.asd
740	 0.24391166712856 
741	 0.242841909366097 
742	 0.241779250050496 
743	 0.240692459562196 
744	 0.239696184910269 
745	 0.238628773966805 
746	 0.23752754865016 
747	 0.236506250752372 
748	 0.235486175880104 
749	 0.234428664830092 
750	 0.233360596848247 
751	 0.232378635274806 
752	 0.231380973830234 
753	 0.230336482429009 
754	 0.2292599167482 
755	 0.2282434031052 
756	 0.227284175799979 
757	 0.226294721756871 
758	 0.225188149189315 
759	 0.224215162870448 
760	 0.223281248309963 
761	 0.222323110137821 
762	 0.221359858979931 
763	 0.220402620619034 
764	 0.219432783330238 
765	 0.218445557961225 
766	 0.217490056581998 
767	 0.216558356637087 
768	 0.215636139250792 
769	 0.214712616320792 
770	 0.213838835681502 
771	 0.212955725761934 
772	 0.212046968406268 
773	 0.211159250264964 
774	 0.210316457266273 
775	 0.209488590651649 
776	 0.208643094380754 
777	 0.20777511984435 
778	 0.206926574101798 
779	 0.206109130604483 
780	 0.205313568261104 
781	 0.204505081193645 
782	 0.203736071135767 
783	 0.202986744425871 
784	 0.202165751926994 
785	 0.201425599898302 
786	 0.200725801348859 
787	 0.200008722396631 
788	 0.199266516902671 
789	 0.19855511495347 
790	 0.197863427918284 
791	 0.197163837323952 
792	 0.196486300319671 
793	 0.195833206863225 
794	 0.195210065208215 
795	 0.194617972880949 
796	 0.193944424432834 
797	 0.193293077672035 
798	 0.192713574418748 
799	 0.192092911791694 
800	 0.191518403625368 
801	 0.190974811954593 
802	 0.190429011302375 
803	 0.189913860350807 
804	 0.189353039746767 
805	 0.188774405284797 
806	 0.188264272020698 
807	 0.187780192346372 
808	 0.187290085269515 
809	 0.186795048510227 
810	 0.186335438219485 
811	 0.185865139182727 
812	 0.185391484006428 
813	 0.184941657776321 
814	 0.184564882196671 
815	 0.184199770909485 
816	 0.183814015695805 
817	 0.183400308339225 
818	 0.182997989516855 
819	 0.182641087548111 
820	 0.182315454989381 
821	 0.181969994292282 
822	 0.181621711584309 
823	 0.181270125795338 
824	 0.180934385170646 
825	 0.18066737416454 
826	 0.180362134389692 
827	 0.180038308869579 
828	 0.179742379346538 
829	 0.17948431951188 
830	 0.179219584094183 
831	 0.178939585226686 
832	 0.178667124284314 
833	 0.178493822717862 
834	 0.178277201177137 
835	 0.178022108214589 
836	 0.177874038386823 
837	 0.177719114888988 
838	 0.17754255656161 
839	 0.177342563800593 
840	 0.177110133261645 
841	 0.176934627545027 
842	 0.176807235170196 
843	 0.176687348338696 
844	 0.176532241193117 
845	 0.176431424739152 
846	 0.176359557208883 
847	 0.176256496746717 
848	 0.176208418377509 
849	 0.176131047725975 
850	 0.176013923931837 
851	 0.175914883039439 
852	 0.175807498694689 
853	 0.175750457377277 
854	 0.175753786349143 
855	 0.175743863948514 
856	 0.175695897063619 
857	 0.175650269086985 
858	 0.175651241829245 
859	 0.175715799541507 
860	 0.175717586469356 
861	 0.175703102878005 
862	 0.175753135312882 
863	 0.175789518348442 
864	 0.175851185257044 
865	 0.175931809967403 
866	 0.175999915688851 
867	 0.176068731707231 
868	 0.176161273719803 
869	 0.176265924784636 
870	 0.176341873915642 
871	 0.176457738208787 
872	 0.176583852892667 
873	 0.176697273669527 
874	 0.176812198024679 
875	 0.177002060907739 
876	 0.177189547150011 
877	 0.177319387192279 
878	 0.17749472787931 
879	 0.177693214804525 
880	 0.177915579486079 
881	 0.178162632878781 
882	 0.178423782285505 
883	 0.178627220327723 
884	 0.178796161869255 
885	 0.17901084710068 
886	 0.179333535127206 
887	 0.179613961095427 
888	 0.179821760411158 
889	 0.180052949256405 
890	 0.18042819115125 
891	 0.180779407270047 
892	 0.181058780614617 
893	 0.181410032832726 
894	 0.181729950063816 
895	 0.18207548497119 
896	 0.18247274117688 
897	 0.182841489583618 
898	 0.183215234854078 
899	 0.183619324546943 
900	 0.184028910578086 
901	 0.184272649908854 
902	 0.184712299964629 
903	 0.185270000713893 
904	 0.185755552015109 
905	 0.186206918931152 
906	 0.186643478578186 
907	 0.187082407125524 
908	 0.187546615399506 
909	 0.188104464437438 
910	 0.18862100177657 
911	 0.18909881755173 
912	 0.189623507303395 
913	 0.190118550330182 
914	 0.190649702140173 
915	 0.191243691964197 
916	 0.191873757595376 
917	 0.192461208221104 
918	 0.193053313541806 
919	 0.193659552422448 
920	 0.19423351504271 
921	 0.194899021283659 
922	 0.195552232856893 
923	 0.196150799866856 
924	 0.196797696993697 
925	 0.197431827044887 
926	 0.19807448887258 
927	 0.19874721067519 
928	 0.199438997845008 
929	 0.200181240503044 
930	 0.200941419923027 
931	 0.201707311307107 
932	 0.202560969481475 
933	 0.203323322617947 
934	 0.204034483902461 
935	 0.204777371763132 
936	 0.205553828128017 
937	 0.206268059459587 
938	 0.206962311020536 
939	 0.207726937715469 
940	 0.208634071867245 
941	 0.209535424338114 
