Wavelength	LMW_13_a00000.asd
591	 0.120378393264934 
592	 0.120861175548422 
593	 0.121298878689521 
594	 0.121820612851696 
595	 0.12249709060453 
596	 0.123176558581224 
597	 0.123778293619341 
598	 0.124294072922028 
599	 0.124766244034661 
600	 0.125218882545395 
601	 0.125612905880454 
602	 0.125956834272183 
603	 0.126358467842822 
604	 0.126820074821247 
605	 0.12728596060186 
606	 0.127711813442425 
607	 0.128263944601627 
608	 0.128800762167908 
609	 0.129247460936828 
610	 0.129628555149513 
611	 0.129950002151821 
612	 0.13026960845218 
613	 0.130618600959059 
614	 0.130908158016025 
615	 0.131161575805609 
616	 0.131425965640022 
617	 0.131753456430324 
618	 0.132070420325869 
619	 0.132327492045902 
620	 0.132526669562224 
621	 0.132768511749691 
622	 0.132992936455954 
623	 0.133196895428111 
624	 0.133399964102127 
625	 0.13362091442697 
626	 0.133820907754748 
627	 0.134014507942956 
628	 0.134292704370756 
629	 0.134486884786683 
630	 0.134635458206541 
631	 0.134814979325683 
632	 0.135002194353154 
633	 0.135227428763415 
634	 0.135417332155318 
635	 0.135441180550531 
636	 0.13565603446789 
637	 0.135922662592396 
638	 0.136092756878746 
639	 0.136212973754543 
640	 0.136343487889417 
641	 0.13652936203735 
642	 0.136778332851359 
643	 0.136911115286426 
644	 0.137061527215316 
645	 0.13727222707037 
646	 0.137408320096844 
647	 0.137584689925681 
648	 0.137772503121435 
649	 0.13792173191113 
650	 0.13806800746081 
651	 0.138270788227717 
652	 0.138501440405583 
653	 0.138662535036508 
654	 0.138850800503268 
655	 0.13903981972057 
656	 0.139199650310486 
657	 0.13934166187462 
658	 0.139506987901567 
659	 0.139710497855153 
660	 0.13993801085666 
661	 0.140086233565505 
662	 0.140204415225918 
663	 0.140350362007415 
664	 0.140570365583601 
665	 0.140838376309959 
666	 0.141032660819776 
667	 0.14109333033542 
668	 0.141315052768701 
669	 0.141565424519593 
670	 0.141782649440428 
671	 0.141973571086323 
672	 0.14211163452913 
673	 0.142307803056878 
674	 0.142594655696584 
675	 0.142765480215438 
676	 0.142942400483348 
677	 0.143148952475306 
678	 0.143365576041538 
679	 0.143568965614357 
680	 0.143787590599218 
681	 0.144003959441727 
682	 0.144135159762265 
683	 0.144346479262397 
684	 0.144618964091297 
685	 0.144878772482802 
686	 0.145043830767815 
687	 0.145249939062756 
688	 0.145496033518439 
689	 0.145689088054382 
690	 0.145912519258214 
691	 0.146157746021625 
692	 0.146402888052658 
693	 0.146628553349861 
694	 0.146824815898315 
695	 0.147029357707317 
696	 0.147280441542271 
697	 0.147513958590732 
698	 0.147734677273173 
699	 0.14795538647922 
700	 0.148191393755919 
701	 0.148390595620504 
702	 0.148588256481452 
703	 0.148809016165416 
704	 0.148986558464241 
705	 0.149211409967772 
706	 0.149457671340002 
707	 0.149648390944256 
708	 0.149837798956369 
709	 0.150054864113729 
710	 0.150287716086543 
711	 0.150470914706105 
712	 0.150665674569319 
713	 0.150858936862595 
714	 0.151027614791073 
715	 0.151183622605904 
716	 0.151384243825028 
717	 0.151594466697748 
718	 0.151720828224657 
719	 0.151836601683328 
720	 0.151959845796815 
721	 0.152098198572021 
722	 0.152257925341819 
723	 0.152409842196172 
724	 0.152540036528113 
725	 0.152643698620774 
726	 0.152722742600058 
727	 0.152819339251788 
728	 0.152910501743362 
729	 0.152920288357445 
730	 0.152976601616966 
731	 0.153067379656049 
732	 0.15314639210487 
733	 0.153147423636961 
734	 0.15316405349 
735	 0.153171698200611 
736	 0.153114893760667 
737	 0.15306561233465 
738	 0.153055074577218 
739	 0.153057068630424 
740	 0.152990439579828 
741	 0.152927854937485 
742	 0.152854728994785 
743	 0.152748526674772 
744	 0.1526137746422 
745	 0.15246281017418 
746	 0.152341295861504 
747	 0.152278166891336 
748	 0.152085988174965 
749	 0.151856104132274 
750	 0.151667462270875 
751	 0.151548978654803 
752	 0.151377583899788 
753	 0.151170774483059 
754	 0.150963614023966 
