Wavelength	MM_3500008.asd
557	 0.064988191734517 
558	 6.51445725884228E-02 
559	 6.54068794237998E-02 
560	 6.56158908948908E-02 
561	 0.065822484588463 
562	 6.60271341030735E-02 
563	 6.62310477996537E-02 
564	 6.65214149612902E-02 
565	 6.67421250578939E-02 
566	 6.69000485350196E-02 
567	 0.067194377551579 
568	 0.067577327384349 
569	 6.79620236483578E-02 
570	 6.82895324587881E-02 
571	 6.86311099229102E-02 
572	 6.90263886414725E-02 
573	 6.94671395457189E-02 
574	 6.99074778679459E-02 
575	 7.02978959215471E-02 
576	 7.07182641498149E-02 
577	 7.11893136815555E-02 
578	 7.15419420223992E-02 
579	 7.19867295425166E-02 
580	 7.24662031196012E-02 
581	 7.28437627521252E-02 
582	 7.32896679164408E-02 
583	 0.073811978990118 
584	 7.43576195790041E-02 
585	 7.48067373916993E-02 
586	 7.53922291004138E-02 
587	 0.076012220176006 
588	 7.65335775139018E-02 
589	 7.71597983874194E-02 
590	 0.077770834953338 
591	 7.83500918592741E-02 
592	 0.078981954695332 
593	 7.95793282556369E-02 
594	 8.02034502633857E-02 
595	 8.08719961599065E-02 
596	 8.14115034123726E-02 
597	 8.19205342274327E-02 
598	 0.082426792143795 
599	 8.29251134862633E-02 
600	 8.34413610088608E-02 
601	 8.39540845508588E-02 
602	 8.44356744502345E-02 
603	 0.084854848253556 
604	 0.085312334022315 
605	 8.57661069051329E-02 
606	 8.61518781286801E-02 
607	 8.65903672093434E-02 
608	 8.70086253944105E-02 
609	 8.74171368042376E-02 
610	 8.79288428303563E-02 
611	 0.088283267295156 
612	 0.08858085197727 
613	 8.89417068538735E-02 
614	 8.92408022345094E-02 
615	 0.089489752737746 
616	 8.97247060508305E-02 
617	 8.99943820704658E-02 
618	 9.02981312814045E-02 
619	 9.05288007712536E-02 
620	 9.06688191622927E-02 
621	 9.09306519958086E-02 
622	 9.11511266884653E-02 
623	 9.13215437653701E-02 
624	 9.14958819607806E-02 
625	 9.17140226077521E-02 
626	 0.091924736492908 
627	 9.20933034300419E-02 
628	 9.22164704588297E-02 
629	 9.23603812560365E-02 
630	 9.25296472955768E-02 
631	 9.27010899325331E-02 
632	 9.28202716664764E-02 
633	 9.29491842554502E-02 
634	 9.30874669122233E-02 
635	 9.31893002686877E-02 
636	 9.33691948257788E-02 
637	 9.35347037667357E-02 
638	 9.36275961596076E-02 
639	 9.37597683724778E-02 
640	 9.39040046465616E-02 
641	 9.40580219476738E-02 
642	 9.42236253105676E-02 
643	 9.43735338603862E-02 
644	 9.45021576999871E-02 
645	 9.46198852241527E-02 
646	 9.47566827593447E-02 
647	 9.48799439059371E-02 
648	 9.49858645243429E-02 
649	 9.50936102581185E-02 
650	 9.52783151924347E-02 
651	 0.095474799163021 
652	 9.56443954435655E-02 
653	 9.57796973873997E-02 
654	 9.59317335461895E-02 
655	 9.60821103993018E-02 
656	 9.62230542058332E-02 
657	 9.64062403438588E-02 
658	 9.66135946581535E-02 
659	 9.68133855237594E-02 
660	 9.69723451987449E-02 
661	 9.71039913901379E-02 
662	 9.72934209226438E-02 
663	 9.75358195564175E-02 
664	 0.097686894070678 
665	 9.79020526280418E-02 
666	 9.81407031534168E-02 
667	 9.83324915282727E-02 
668	 9.85241340493843E-02 
669	 9.87491510497154E-02 
670	 9.89773883028724E-02 
671	 0.099136080039768 
672	 9.93641929140363E-02 
673	 0.099614022266277 
674	 9.98412833759324E-02 
675	 0.100092450978831 
676	 0.10033619594975 
677	 0.10055110436764 
678	 0.100742210718105 
679	 0.101059021870169 
680	 0.101354492085265 
681	 0.101584649032694 
682	 0.101871867377971 
683	 0.102192090794671 
684	 0.102478691077594 
685	 0.102697779374903 
686	 0.102973445745109 
687	 0.103290427547353 
688	 0.103600505803644 
689	 0.10384295820726 
690	 0.104097678375421 
691	 0.104390600339448 
692	 0.10471249302798 
693	 0.105002235961855 
694	 0.105296430554594 
695	 0.105617330445445 
696	 0.105965112421015 
697	 0.106248775558664 
698	 0.106535666883595 
699	 0.106848250194723 
700	 0.107152730365408 
701	 0.107478493471136 
702	 0.107788062902329 
703	 0.108058575303819 
704	 0.108342551973971 
705	 0.108654894741085 
706	 0.108975038883973 
707	 0.109269233935813 
708	 0.109586249844566 
709	 0.109881618812521 
710	 0.110148776088306 
711	 0.110450481644613 
712	 0.110724243100435 
713	 0.110985839903186 
714	 0.111265639403801 
715	 0.111564345664843 
716	 0.111846840365362 
717	 0.112106294503469 
718	 0.112357343155949 
719	 0.112591388125438 
720	 0.1128417254193 
721	 0.113104362301198 
722	 0.113291191079742 
723	 0.113478204359318 
724	 0.113713915120139 
725	 0.113999228149537 
726	 0.114152738284016 
727	 0.114339255870766 
728	 0.114577032337334 
729	 0.11473808706487 
730	 0.114890751361743 
731	 0.1150416625363 
732	 0.115184925870711 
733	 0.115310243692502 
734	 0.115422436709845 
735	 0.115528350603082 
736	 0.115631035231092 
737	 0.115702049079015 
738	 0.115777200694461 
739	 0.115862243400442 
740	 0.115925952339287 
741	 0.115988104241086 
742	 0.116021863058866 
743	 0.116018165732929 
744	 0.116045530826495 
745	 0.116020085834358 
746	 0.115977613122294 
747	 0.115990415370248 
748	 0.115950845258062 
749	 0.115900793792363 
750	 0.115856428681699 
751	 0.115787530641386 
752	 0.115712772532112 
753	 0.115634074106552 
754	 0.115548554597109 
755	 0.115446796800627 
756	 0.115372905181842 
757	 0.11529699048486 
758	 0.115163108126806 
759	 0.115031203624255 
760	 0.114905333834131 
761	 0.114772908897298 
762	 0.11460842622539 
763	 0.114454692895778 
764	 0.114296956709719 
765	 0.11412355396193 
766	 0.113975763565926 
767	 0.113806676997581 
768	 0.113621397489943 
769	 0.11344365650473 
770	 0.113220116671789 
771	 0.113027271838202 
772	 0.112869770505949 
773	 0.112657224267426 
774	 0.112500983443148 
775	 0.112315525512299 
776	 0.112047318822564 
777	 0.11184911770052 
778	 0.11164697959635 
779	 0.111457523775842 
780	 0.111309821321138 
781	 0.111049890194376 
782	 0.110809866951323 
783	 0.110627298101672 
784	 0.110418407329705 
785	 0.110200443224067 
786	 0.109983508149542 
787	 0.10976906289957 
788	 0.109531485317319 
789	 0.109348680198213 
790	 0.109176342187421 
791	 0.108944429523402 
792	 0.108714105631544 
793	 0.10851102765533 
794	 0.108329494414259 
795	 0.108137052449092 
796	 0.107908986745767 
797	 0.107683167117194 
798	 0.10749164821098 
799	 0.107338765939997 
800	 0.107148601576717 
801	 0.106947761987856 
802	 0.106774115959615 
803	 0.106574442474232 
804	 0.106360702051216 
805	 0.106162870963921 
806	 0.10600916634016 
807	 0.105819955468555 
808	 0.105631343477791 
809	 0.105462438080175 
810	 0.105293016382181 
811	 0.105130393646596 
812	 0.104951595782349 
813	 0.104758520808381 
814	 0.104639627103881 
815	 0.104505019242109 
816	 0.104342677617273 
817	 0.104179277891311 
818	 0.104053819131078 
819	 0.103933722757297 
820	 0.103781419540329 
821	 0.103575223738018 
822	 0.103477532611756 
823	 0.103376494938153 
824	 0.10321619947347 
825	 0.103102087403463 
826	 0.102999215259341 
827	 0.102887619514184 
828	 0.102757279216242 
829	 0.102617833867122 
830	 0.102490411059938 
831	 0.102396155488558 
832	 0.102335942036146 
833	 0.102205262559182 
834	 0.102080955147007 
835	 0.101986869005353 
836	 0.10188699542062 
837	 0.101814688361557 
838	 0.101761792053271 
839	 0.101706090326785 
840	 0.10161327173761 
841	 0.101552125851747 
842	 0.101504899452191 
843	 0.101440159316931 
844	 0.101362444649964 
845	 0.101314833498881 
846	 0.10127053815058 
847	 0.101189626055954 
848	 0.101164235893945 
849	 0.101114474802307 
850	 0.101034117269299 
851	 0.100985501253723 
852	 0.100953682551091 
853	 0.100972892887171 
854	 0.101011575811041 
855	 0.100942219982641 
856	 0.10090710268755 
