Wavelength	LMW_13_a00006.asd
790	 0.147554908505973 
791	 0.14723721568114 
792	 0.146866156695303 
793	 0.146569235617764 
794	 0.146332787005505 
795	 0.146021418899961 
796	 0.145674609119636 
797	 0.145345192154882 
798	 0.145049370688173 
799	 0.144731791423638 
800	 0.144402014128507 
801	 0.144064684093222 
802	 0.14374891919001 
803	 0.143586527245683 
804	 0.143356961971334 
805	 0.143030397626059 
806	 0.142711190758059 
807	 0.142460016237702 
808	 0.142161473031331 
809	 0.141822662646029 
810	 0.14162790261992 
811	 0.14146017463189 
812	 0.141225880768406 
813	 0.140901118759429 
814	 0.140624015905722 
815	 0.140370002679774 
816	 0.140151804408318 
817	 0.139975913609928 
818	 0.139761233256051 
819	 0.139527866683112 
820	 0.139292609183046 
821	 0.139064358424648 
822	 0.138847947210725 
823	 0.138646994449763 
824	 0.138465972203906 
825	 0.138314409767819 
826	 0.138067489194149 
827	 0.13780156796261 
828	 0.137624618712492 
829	 0.137562942700428 
830	 0.137431978464726 
831	 0.137213012313914 
832	 0.136990200428694 
833	 0.136877536886495 
834	 0.136775512655437 
835	 0.136641152028497 
836	 0.136499771884012 
837	 0.13630681188934 
838	 0.136182291881862 
839	 0.136137342879662 
840	 0.135956892556688 
841	 0.135815843044582 
842	 0.135689083817838 
843	 0.135541325723322 
844	 0.135486916213653 
845	 0.135412430284577 
846	 0.135298211735554 
847	 0.135176669288642 
848	 0.135086530869576 
849	 0.134989440029566 
850	 0.13490240806847 
851	 0.134880730245114 
852	 0.134826328284802 
853	 0.134743843978308 
854	 0.134658373883622 
855	 0.134600032281528 
856	 0.134545472401486 
857	 0.134514278432882 
858	 0.13450794092693 
859	 0.134455139318298 
860	 0.134427631487992 
861	 0.134422348180523 
862	 0.134409619855735 
863	 0.134370752217099 
864	 0.1343468235893 
865	 0.134363591889767 
866	 0.134411871593581 
867	 0.134333281183726 
868	 0.134276562034579 
869	 0.134313394104445 
870	 0.134397374651137 
871	 0.134408441437171 
872	 0.13448323511396 
873	 0.134638500228842 
874	 0.134636211568259 
875	 0.134558483529782 
876	 0.134496602728636 
877	 0.134508140334294 
878	 0.134547654066615 
879	 0.134646273320503 
880	 0.134767070127423 
881	 0.134866653997473 
882	 0.134980955957191 
883	 0.135085876979429 
884	 0.135171074076684 
885	 0.135248561492801 
886	 0.135407620645304 
887	 0.135534479975911 
888	 0.135616075751682 
