Wavelength	LMW_1100001.asd
671	 8.99262505289715E-02 
672	 9.02848135257989E-02 
673	 9.06411839262196E-02 
674	 9.09605171935978E-02 
675	 9.13509864477503E-02 
676	 9.16970223019605E-02 
677	 9.20208933711305E-02 
678	 9.23971809429165E-02 
679	 9.28021156589691E-02 
680	 9.32169684642199E-02 
681	 9.36230712825921E-02 
682	 0.094002473437948 
683	 9.44068117556079E-02 
684	 9.48445583634807E-02 
685	 9.53049206136111E-02 
686	 9.57552109025957E-02 
687	 9.62322656814332E-02 
688	 9.67210326731173E-02 
689	 0.09717312096126 
690	 9.76249334421857E-02 
691	 9.80664014194782E-02 
692	 9.85117107571103E-02 
693	 9.90423678670273E-02 
694	 0.099557436357421 
695	 0.100055684307442 
696	 0.100570359023153 
697	 0.101104713632211 
698	 0.1016379238009 
699	 0.102173331151773 
700	 0.102740126744956 
701	 0.10329632983816 
702	 0.103826111719815 
703	 0.104343896775966 
704	 0.104929243173764 
705	 0.105526851751703 
706	 0.106101346359091 
707	 0.106637744290838 
708	 0.107200018117409 
709	 0.107780664849177 
710	 0.108363618732446 
711	 0.108936045618144 
712	 0.109494887907059 
713	 0.110026595982522 
714	 0.110532268880199 
715	 0.111058742825711 
716	 0.111663005019456 
717	 0.112288272834888 
718	 0.112807278185703 
719	 0.113318541272693 
720	 0.113834035443458 
721	 0.114346078376816 
722	 0.114832063841231 
723	 0.115335601639538 
724	 0.115830335302846 
725	 0.116279298000689 
726	 0.116720667617567 
727	 0.117152363168305 
728	 0.117574121785498 
729	 0.11798664194156 
730	 0.118354009687956 
731	 0.118724372033359 
732	 0.119111405811056 
733	 0.11940827011399 
734	 0.11968682946333 
735	 0.119954878286454 
736	 0.120197037074814 
737	 0.120422142379276 
738	 0.120627465895089 
739	 0.120812636997117 
740	 0.120980137940664 
741	 0.121110306806146 
742	 0.121207331177299 
743	 0.121277402966734 
744	 0.121314095934836 
745	 0.121339209837849 
746	 0.121357125081841 
747	 0.121357126725319 
748	 0.121296606297833 
749	 0.121197447883955 
750	 0.121102497839472 
751	 0.121068664593287 
752	 0.120967584128695 
753	 0.12084092552046 
754	 0.120720397149851 
755	 0.120475831642216 
756	 0.120261120714109 
757	 0.120071213418667 
758	 0.119831151863736 
759	 0.119625705883126 
760	 0.119344187016782 
761	 0.119000436321715 
762	 0.118778833737349 
763	 0.118490520517426 
764	 0.118164371608884 
765	 0.117855939027159 
766	 0.117544315661912 
767	 0.117200242145496 
768	 0.116850893905347 
769	 0.116536430126005 
770	 0.11616749159106 
771	 0.115802196602514 
772	 0.115456097902111 
773	 0.115079350779902 
774	 0.11471175050388 
775	 0.114340755864558 
776	 0.113957741179602 
777	 0.113604012735026 
778	 0.113200638058831 
779	 0.112792133133891 
780	 0.112454201530926 
781	 0.112066269710042 
782	 0.111693292951054 
783	 0.11133873866251 
784	 0.110931860586185 
785	 0.110546225439135 
786	 0.110163938695873 
787	 0.109772171244469 
788	 0.10941488128556 
789	 0.109049842930824 
790	 0.108681161358295 
791	 0.108321202522417 
792	 0.107925800857359 
793	 0.10757122317306 
794	 0.107260403224098 
795	 0.106929740941105 
796	 0.106564436342567 
797	 0.106220717763212 
798	 0.105917982367589 
799	 0.105587354224279 
800	 0.105255703319022 
801	 0.104925341839339 
802	 0.104594759373821 
803	 0.104270661143085 
804	 0.103970544261117 
805	 0.103671750059281 
806	 0.103338776534324 
807	 0.103054025343376 
808	 0.102785063526492 
809	 0.102507961237584 
810	 0.102226712741616 
811	 0.101975985629076 
812	 0.101712999541586 
813	 0.10142066686542 
814	 0.101202160518072 
815	 0.100968374643636 
816	 0.100724873706646 
817	 0.100505274487174 
818	 0.100266841329561 
819	 0.100030124440468 
820	 9.98012734010703E-02 
821	 9.95743981878813E-02 
822	 9.93871208889848E-02 
823	 0.099209674380773 
824	 9.90219245781676E-02 
825	 9.88374454459802E-02 
826	 9.86520343406111E-02 
827	 9.84529373547604E-02 
828	 9.82484510209569E-02 
829	 9.81259548704199E-02 
830	 9.79433903853162E-02 
831	 9.77539432420362E-02 
832	 0.097672704690162 
833	 9.75553741040826E-02 
834	 9.74185040150237E-02 
835	 9.72720789996116E-02 
836	 9.71151840570592E-02 
837	 9.70243485120517E-02 
838	 9.69496880455842E-02 
839	 9.68432278122719E-02 
840	 9.66973958858149E-02 
841	 9.65917532469373E-02 
842	 9.65027813397787E-02 
843	 9.64000877825956E-02 
844	 9.63308249432576E-02 
845	 9.62952306687572E-02 
846	 9.62266438583391E-02 
847	 9.60716668876272E-02 
848	 9.60279996732336E-02 
849	 9.59897370186327E-02 
850	 9.59320621678758E-02 
851	 9.59097337681322E-02 
852	 9.58784417905059E-02 
853	 9.58408807948249E-02 
854	 9.57961427315527E-02 
855	 9.57298593171598E-02 
856	 0.095743621496772 
