Wavelength	lmw-9-200003.asd
962	 0.149897672731552 
963	 0.150744001599449 
964	 0.151499575240577 
965	 0.152292145345486 
966	 0.153147699732349 
967	 0.154013191025257 
968	 0.15488361352498 
969	 0.155773099077256 
970	 0.156650594270871 
971	 0.15748051103223 
972	 0.158398328551506 
973	 0.159398121979482 
974	 0.160353698114126 
975	 0.161147061984157 
976	 0.162130179639744 
977	 0.163084527858001 
978	 0.164024407403517 
979	 0.165094476798164 
980	 0.166131746765286 
981	 0.167069693783805 
982	 0.167998865402411 
983	 0.169050853073636 
984	 0.170038013261647 
985	 0.171109004533216 
986	 0.172201226414245 
987	 0.173169730912181 
988	 0.174156185542765 
989	 0.175081499981 
990	 0.176039507032032 
991	 0.177164241781956 
992	 0.178345853502686 
993	 0.179409163464641 
994	 0.180404865429147 
995	 0.181464660987231 
996	 0.182558714752141 
997	 0.183729500634865 
998	 0.184849775623052 
999	 0.185819519367299 
1000	 0.186841105975201 
1001	 0.193967518077809 
1002	 0.195128510151947 
1003	 0.196284165991107 
1004	 0.197413946759183 
1005	 0.198568881431641 
1006	 0.199691859535288 
1007	 0.200771942560187 
1008	 0.20183297462195 
1009	 0.202946315419222 
1010	 0.203986881745245 
1011	 0.205034801802655 
1012	 0.206159872334056 
1013	 0.207284112586915 
1014	 0.20846460901713 
1015	 0.209623966571338 
1016	 0.210743335161194 
1017	 0.211871138056296 
1018	 0.213018606180658 
1019	 0.214031439491583 
1020	 0.215010896957415 
1021	 0.21602670572906 
1022	 0.216958786844045 
1023	 0.217948257094702 
1024	 0.219012038183606 
1025	 0.220094574051746 
1026	 0.221157535014651 
1027	 0.222148269809992 
1028	 0.223181494509728 
1029	 0.224194982497206 
1030	 0.225158487457525 
1031	 0.226146062663546 
1032	 0.227175061818072 
1033	 0.22815640535476 
1034	 0.229077058125992 
1035	 0.230016852634099 
1036	 0.230939932610982 
1037	 0.231827584428608 
1038	 0.232798606031602 
1039	 0.233791676763063 
1040	 0.234741845776654 
1041	 0.235723572964665 
1042	 0.236661067203791 
1043	 0.237552116027123 
1044	 0.238470107971968 
1045	 0.239405051711608 
1046	 0.240327996984925 
1047	 0.241251306740675 
1048	 0.242225791654504 
1049	 0.243180292394442 
1050	 0.244099957832791 
1051	 0.245021368672789 
1052	 0.245958079980819 
1053	 0.246920497535183 
1054	 0.247914059435394 
1055	 0.248959095613092 
1056	 0.24998093599209 
1057	 0.250974915287059 
1058	 0.251951208144048 
1059	 0.252925929764536 
1060	 0.253866032819268 
1061	 0.25482855260529 
1062	 0.255807599056663 
1063	 0.256791972139948 
1064	 0.257817381705303 
1065	 0.258817213344125 
1066	 0.259769346183616 
1067	 0.260766526428118 
1068	 0.261794541127317 
1069	 0.26277111247839 
1070	 0.263792114790518 
1071	 0.264874878994521 
1072	 0.265920136796402 
1073	 0.26696835703421 
1074	 0.26799951979197 
1075	 0.269013044248807 
1076	 0.269984900164054 
1077	 0.271009797479569 
1078	 0.272011670337073 
1079	 0.273074428381072 
1080	 0.274155081206704 
1081	 0.275144040785741 
1082	 0.27617039999558 
1083	 0.277204569917881 
