Wavelength	mm23-200003.asd
665	 0.353273372683153 
666	 0.353716235239067 
667	 0.354057906653818 
668	 0.354425215389951 
669	 0.354891886972806 
670	 0.355413807488322 
671	 0.35585185463769 
672	 0.356180625178522 
673	 0.356541652201132 
674	 0.357009309206065 
675	 0.357428374406614 
676	 0.357875773583689 
677	 0.358316236597658 
678	 0.358684668394941 
679	 0.359037347959866 
680	 0.359465868322044 
681	 0.359954451024313 
682	 0.360346606354174 
683	 0.360837424190249 
684	 0.361262473008172 
685	 0.361505397185211 
686	 0.361963524341493 
687	 0.36241916717639 
688	 0.362816413481825 
689	 0.363220196647998 
690	 0.363625842062759 
691	 0.364015117504842 
692	 0.364398015217815 
693	 0.36485393947542 
694	 0.365257577222146 
695	 0.36566159398337 
696	 0.36612904733451 
697	 0.366389002081164 
698	 0.366700097154565 
699	 0.367135324498239 
700	 0.367540726333548 
701	 0.367900967883339 
702	 0.368241116548395 
703	 0.368589288824552 
704	 0.368945047789383 
705	 0.369309745342067 
706	 0.369645550315238 
707	 0.36991535708794 
708	 0.370262502652595 
709	 0.370622444864287 
710	 0.370934379104409 
711	 0.371176103047855 
712	 0.371428872944789 
713	 0.371654813937123 
714	 0.371834580342911 
715	 0.372157953016332 
716	 0.372449927161926 
717	 0.372650588966293 
718	 0.372801584270056 
719	 0.37301340062419 
720	 0.37319297206091 
721	 0.373285716747123 
722	 0.373363587150408 
723	 0.373505757421573 
724	 0.373655071197017 
725	 0.373720672102637 
726	 0.373725758608325 
727	 0.373695233551881 
728	 0.373665473880903 
729	 0.373674801790755 
730	 0.373618109472948 
731	 0.373535447190954 
732	 0.373446548867281 
733	 0.373242222040936 
734	 0.373105494395937 
735	 0.372996227807503 
736	 0.372795476208896 
737	 0.372530534689441 
738	 0.372278650104732 
739	 0.372032364229536 
740	 0.371692010573479 
741	 0.371374153133061 
742	 0.37098972790397 
743	 0.370508949375283 
744	 0.370190791393056 
745	 0.369795178538346 
746	 0.369309839752729 
747	 0.368825384888424 
748	 0.368315784979401 
749	 0.367781173708959 
750	 0.367250184355818 
751	 0.366779514600475 
752	 0.366191976382936 
753	 0.365514493903583 
754	 0.364833498453417 
755	 0.364260023555719 
756	 0.363653637457722 
757	 0.362976715299627 
758	 0.362256592151407 
759	 0.361550454205497 
760	 0.360813478929928 
761	 0.360051729820713 
762	 0.359345081200655 
763	 0.358655062343022 
764	 0.357899053695708 
765	 0.357058006281957 
766	 0.356321499705773 
767	 0.355592203488079 
768	 0.354799250988707 
769	 0.353914873577027 
770	 0.353104289703561 
771	 0.352333005034337 
772	 0.351545376702645 
773	 0.350689272969667 
774	 0.349910415105262 
775	 0.349110882468213 
776	 0.348224952747398 
777	 0.347427404588234 
778	 0.346651164994102 
779	 0.345865152806538 
780	 0.345055497411065 
781	 0.344224954210415 
782	 0.343388032075699 
783	 0.342562967534467 
784	 0.341771620511645 
785	 0.341008295648891 
786	 0.340235178069511 
787	 0.339436619713749 
788	 0.338657505185537 
789	 0.337942376185861 
790	 0.33720515126502 
791	 0.336362159705188 
792	 0.335620381052966 
793	 0.334877765598649 
794	 0.334127925247589 
795	 0.33344481728743 
796	 0.332632601889684 
797	 0.331853233842494 
798	 0.331207228726964 
799	 0.330584389242834 
800	 0.329953277696003 
801	 0.329250989269747 
802	 0.32847312856635 
803	 0.327839795873406 
804	 0.32726263868959 
805	 0.326649334582558 
806	 0.325937997465881 
807	 0.325282762636636 
808	 0.324705849319031 
809	 0.324167917381809 
810	 0.323573515051218 
811	 0.322964296796127 
812	 0.322336839577643 
813	 0.321714949752479 
814	 0.321220888399784 
815	 0.320751713427036 
816	 0.320254262234548 
817	 0.319711344783614 
818	 0.319163154118785 
819	 0.318682137718991 
820	 0.318227992457771 
821	 0.317685901422059 
822	 0.317281939934424 
823	 0.31677532917517 
824	 0.316145465083535 
825	 0.315836559949971 
826	 0.315505014962227 
827	 0.315107437249034 
828	 0.314679180872486 
829	 0.314226745008225 
830	 0.313795761218708 
831	 0.313419812281987 
832	 0.313113319714236 
833	 0.312855517178665 
834	 0.312535111652261 
835	 0.31214845639111 
836	 0.311797239620561 
837	 0.311483395465274 
838	 0.311242860706861 
839	 0.31103517249047 
840	 0.310690020936469 
841	 0.310335004237881 
842	 0.310050801943893 
843	 0.309866370128429 
844	 0.309711091704713 
845	 0.309493283226014 
846	 0.309210584377268 
847	 0.308938553658335 
848	 0.30888269106911 
849	 0.308809671762851 
850	 0.308644217255098 
851	 0.308469799989588 
852	 0.308239503899703 
853	 0.308102986965192 
854	 0.308061790243671 
855	 0.307876581106685 
856	 0.307813445244997 
857	 0.30774871121877 
858	 0.307597209648993 
859	 0.307604460736126 
860	 0.307698461666413 
861	 0.307694404627192 
862	 0.30748044263734 
863	 0.30742324541306 
864	 0.307483448294396 
865	 0.30753993530314 
866	 0.307470797310559 
867	 0.307482609607903 
868	 0.307536308875167 
869	 0.307595079286648 
870	 0.307652211704121 
871	 0.307759108022854 
872	 0.307890447515283 
873	 0.308029990614429 
874	 0.308198067048755 
875	 0.308257741149445 
876	 0.308310816232165 
877	 0.308464649290598 
878	 0.308675188970006 
879	 0.308939124187569 
880	 0.309165576918606 
881	 0.309303904108081 
882	 0.309587214014329 
883	 0.309797215646298 
884	 0.309963536699136 
885	 0.310232955928973 
886	 0.310510282267744 
887	 0.310810764956444 
888	 0.311076093816384 
889	 0.311223320334945 
890	 0.311587527728011 
891	 0.311975955503694 
892	 0.312316017122622 
893	 0.31276127169664 
894	 0.313116313097087 
895	 0.313420656339581 
896	 0.313756216086879 
897	 0.31418940278834 
898	 0.314670335477107 
899	 0.315128827079033 
900	 0.315535567686608 
901	 0.315978632216519 
902	 0.316427784102725 
903	 0.316910285656718 
904	 0.317444470742145 
905	 0.317954120021806 
906	 0.318484889323685 
907	 0.319014202628278 
908	 0.319524160168401 
909	 0.320198748349938 
910	 0.320815902105583 
911	 0.321350771999189 
912	 0.321918611345732 
913	 0.322507530461952 
914	 0.323159367511959 
915	 0.323847062882061 
916	 0.324489629918882 
917	 0.325102659017506 
918	 0.325769329962231 
919	 0.326484839837978 
920	 0.327145833506397 
921	 0.327916039102939 
922	 0.328674573562987 
923	 0.329373262600594 
924	 0.330138027561897 
925	 0.330901112991295 
926	 0.331675918205253 
927	 0.332448520336703 
928	 0.33312661152933 
929	 0.334003831817374 
930	 0.334967500297374 
931	 0.335866095485642 
932	 0.336732570661255 
933	 0.337489028395231 
934	 0.338270973422262 
935	 0.339201357919605 
936	 0.340197784030016 
937	 0.341039635032077 
938	 0.341871613405536 
939	 0.342888906477021 
940	 0.343995845715447 
941	 0.344979524204231 
942	 0.345908386616374 
943	 0.346928609734721 
944	 0.347978762241698 
945	 0.34894960306358 
946	 0.349895708431896 
947	 0.350923812203008 
948	 0.352005692525383 
949	 0.353033189068716 
950	 0.35402715555923 
951	 0.355090229143846 
952	 0.356349633134833 
953	 0.357438877547044 
954	 0.358442156976848 
955	 0.359635248329832 
956	 0.360750788995356 
957	 0.361850272458952 
958	 0.36298860055512 
959	 0.364185560463415 
960	 0.36536049029725 
961	 0.366509021656757 
962	 0.367692467619751 
963	 0.368961680791187 
964	 0.370101441771534 
965	 0.371262050934702 
966	 0.372506539358546 
967	 0.373786161402746 
968	 0.374884664860825 
969	 0.376121366748391 
970	 0.377436184708136 
971	 0.378564873746264 
972	 0.379861088822646 
973	 0.381163421936477 
974	 0.382369369072502 
975	 0.383514521995807 
976	 0.385008942159285 
977	 0.386432319013568 
978	 0.38771053724119 
979	 0.389036530909453 
980	 0.390481713749701 
981	 0.391708011499291 
982	 0.39290571247702 
983	 0.394441673675434 
984	 0.395686414267376 
985	 0.397043343892263 
986	 0.398440179751923 
987	 0.399662919164869 
988	 0.401414606516557 
989	 0.402771652735623 
990	 0.403843790562117 
991	 0.405201072016156 
992	 0.406596300142534 
993	 0.408082716676426 
994	 0.409611505594341 
995	 0.411081627294816 
996	 0.412422752608828 
997	 0.413599557833546 
998	 0.414880161950506 
999	 0.416449389322663 
1000	 0.417791133148011 
1001	 0.419383483349874 
1002	 0.420655093625034 
1003	 0.421907628602183 
1004	 0.423167086963263 
1005	 0.424550719419478 
1006	 0.425832633115619 
1007	 0.427010058932557 
1008	 0.428235663023255 
1009	 0.429560443433157 
1010	 0.430847701157965 
1011	 0.43213761949386 
1012	 0.433375973768357 
1013	 0.434596135791202 
1014	 0.435832895092611 
1015	 0.437060192454755 
1016	 0.438306761734915 
1017	 0.439515427666509 
1018	 0.44069567572574 
1019	 0.44181993061275 
1020	 0.442979400682925 
1021	 0.444136209876157 
1022	 0.445288191444499 
1023	 0.446421387709901 
1024	 0.447499656602385 
1025	 0.448619710868293 
1026	 0.449730954203365 
1027	 0.450760618047203 
1028	 0.451827298427125 
1029	 0.452900038589864 
1030	 0.453913926185486 
1031	 0.454937845543881 
1032	 0.455992449028947 
1033	 0.457018452021616 
1034	 0.457969468408215 
1035	 0.458961352056432 
1036	 0.459961470091686 
1037	 0.460929005815984 
1038	 0.461917017288027 
1039	 0.462886455574906 
1040	 0.463814109931782 
1041	 0.464740317422781 
1042	 0.46568736126054 
1043	 0.466580719685575 
1044	 0.467497826616352 
1045	 0.468421901249554 
1046	 0.469388455251794 
1047	 0.470275966403804 
1048	 0.471203502063097 
1049	 0.472139133102712 
1050	 0.472984166520342 
1051	 0.473849762907295 
1052	 0.474740791338248 
1053	 0.475565767487036 
1054	 0.476377302976282 
1055	 0.477281926411217 
1056	 0.478212327322932 
1057	 0.479102682977065 
1058	 0.48005362337597 
1059	 0.48091308328294 
1060	 0.481696584486791 
1061	 0.482439473065796 
1062	 0.483273004934589 
1063	 0.484149362060138 
1064	 0.485069939729957 
1065	 0.486010404750644 
1066	 0.486828034484739 
1067	 0.487595729060041 
1068	 0.488382626189836 
1069	 0.4891583148368 
1070	 0.489993506700524 
1071	 0.490925271480965 
1072	 0.491781505397066 
1073	 0.492651490230071 
1074	 0.493466002307281 
1075	 0.494233358852609 
