Wavelength	mm23-200000.asd
426	 9.61989149576564E-02 
427	 9.45215150445845E-02 
428	 9.35061724970483E-02 
429	 9.27278125544903E-02 
430	 9.17318232780154E-02 
431	 0.091487090963999 
432	 9.16935203186161E-02 
433	 9.21460482509208E-02 
434	 9.28124614502541E-02 
435	 0.094219583478651 
436	 9.60299992028495E-02 
437	 9.78769661723313E-02 
438	 9.96757388833013E-02 
439	 0.102244632546302 
440	 0.105210407823133 
441	 0.107740704623342 
442	 0.110712060076794 
443	 0.113788229653492 
444	 0.116815935146595 
445	 0.120095664272233 
446	 0.123296724098866 
447	 0.126426932318571 
448	 0.129623193793955 
449	 0.133158878071405 
450	 0.136527277619014 
451	 0.139688768512475 
452	 0.143014077973703 
453	 0.146268657719572 
454	 0.149217449160607 
455	 0.151981428735559 
456	 0.155625137846516 
457	 0.158630610855073 
458	 0.161278532366791 
459	 0.16452770446113 
460	 0.16774428139498 
461	 0.170687097708388 
462	 0.173523240348213 
463	 0.176930949396816 
464	 0.180093271851483 
465	 0.183128326310616 
466	 0.186292052869166 
467	 0.189295723449123 
468	 0.192153281899566 
469	 0.194907109211196 
470	 0.197638352651918 
471	 0.200794964851245 
472	 0.203823500383398 
473	 0.206361863514328 
474	 0.208831533093319 
475	 0.211487120297519 
476	 0.214228018527441 
477	 0.216808731869941 
478	 0.219362908519198 
479	 0.22172686689938 
480	 0.223923083302871 
481	 0.226263662482269 
482	 0.228601371957138 
483	 0.230913787880077 
484	 0.233166897168327 
485	 0.235201777320352 
486	 0.23698180114353 
487	 0.238671858531985 
488	 0.24056820035028 
489	 0.242268633775713 
490	 0.243785361480192 
491	 0.245216468737018 
492	 0.246683574335335 
493	 0.248021367731263 
494	 0.249208352660203 
495	 0.250329013891207 
496	 0.251710125333122 
497	 0.252859614830158 
498	 0.253648480461886 
499	 0.254601335752127 
500	 0.255303612638384 
501	 0.255965989852311 
502	 0.256826938487606 
503	 0.257431415044985 
504	 0.258039191457996 
505	 0.258697469754541 
506	 0.259242567761367 
507	 0.259663898195754 
508	 0.260150045001455 
509	 0.260753357877181 
510	 0.261057749624936 
511	 0.261319058562424 
512	 0.261620269767224 
513	 0.261953419822705 
514	 0.262352258628369 
515	 0.262773951310749 
516	 0.263155058027689 
517	 0.263407588625492 
518	 0.263656279465462 
519	 0.263825767389377 
520	 0.263857331180171 
521	 0.264116346231491 
522	 0.264408325614326 
523	 0.264629859645857 
524	 0.264808126156746 
525	 0.264965583517773 
526	 0.265135732559077 
527	 0.265357826681817 
528	 0.26571412174726 
529	 0.265940319426337 
530	 0.266031437522033 
531	 0.266159989264562 
532	 0.266386594058159 
533	 0.266654581354644 
534	 0.266928753481065 
535	 0.267282913650006 
536	 0.267490436528624 
537	 0.267623366241786 
538	 0.267861141459558 
539	 0.268201808899219 
540	 0.268513131755945 
541	 0.268770874805797 
542	 0.269105773089158 
543	 0.269412833328704 
544	 0.269750411992251 
545	 0.270165433239109 
546	 0.270485246436297 
547	 0.270798404571181 
548	 0.271155982117733 
549	 0.2715668508638 
550	 0.271970538520795 
551	 0.272416406866055 
552	 0.272927955340861 
553	 0.273416409251286 
554	 0.273852137715672 
555	 0.274298277558705 
556	 0.274858344726 
557	 0.27549857432421 
558	 0.276105927725688 
559	 0.276654739108555 
560	 0.277290942836497 
561	 0.277833235115048 
562	 0.278400234642391 
563	 0.27914942591266 
564	 0.279855582982765 
565	 0.280527008775243 
566	 0.281227516407614 
567	 0.28206352700496 
568	 0.282962760629318 
569	 0.283804353072595 
570	 0.284532398200187 
571	 0.285326152524861 
572	 0.286219466963866 
573	 0.287180373090557 
574	 0.288125863117592 
575	 0.288998551963723 
576	 0.289840888800452 
577	 0.290691037251013 
578	 0.291524543304994 
579	 0.292445419940525 
580	 0.293454043194402 
581	 0.294524986144576 
582	 0.29581277272288 
583	 0.297124297305553 
584	 0.298316091364078 
585	 0.299361446388669 
586	 0.300368581201279 
587	 0.301354190320417 
588	 0.302328659495908 
589	 0.303405797237983 
590	 0.304504639042526 
591	 0.305570351951342 
592	 0.306589519216379 
593	 0.307696738816159 
594	 0.308807423081928 
595	 0.309858323984345 
596	 0.310960330401036 
597	 0.312137090210676 
598	 0.313336210433174 
599	 0.314476163065988 
600	 0.315617164511347 
601	 0.316717476661799 
602	 0.317754402551234 
603	 0.318765543246651 
604	 0.319710192278159 
605	 0.320647451336716 
606	 0.321649951403008 
607	 0.322665767238592 
608	 0.323603556555278 
609	 0.324483346827754 
610	 0.325452720752875 
611	 0.326503698732828 
612	 0.327516781190223 
613	 0.328370575693013 
614	 0.329031931023121 
615	 0.329750714638003 
616	 0.33053318376833 
617	 0.331219134879761 
618	 0.331946554553768 
619	 0.332654060071472 
620	 0.333301510098624 
621	 0.333957195302941 
622	 0.334538620362304 
623	 0.335094100918495 
624	 0.335706062613598 
625	 0.336298136178262 
626	 0.336826314625892 
627	 0.337317978249513 
628	 0.337887214326513 
629	 0.338492022745313 
630	 0.339051447878659 
631	 0.339518246847671 
632	 0.340014615117114 
633	 0.340496722707505 
634	 0.340970037382154 
635	 0.341477773872954 
636	 0.341952516015173 
637	 0.342432822162787 
638	 0.342924350571617 
639	 0.343296670190052 
640	 0.343724293903915 
641	 0.344197074176466 
642	 0.344626622001113 
643	 0.345048152479288 
644	 0.34550554861952 
645	 0.345996882155902 
646	 0.346454133785807 
647	 0.346850731875669 
648	 0.347238598098056 
649	 0.347674571393019 
650	 0.348127856217808 
651	 0.348527598297095 
652	 0.34890006942565 
653	 0.349351681930739 
654	 0.349830695852507 
655	 0.3502764244499 
656	 0.350676603544713 
657	 0.351150933047052 
658	 0.351532740099178 
659	 0.351904669303616 
660	 0.35241892294203 
661	 0.352767834412245 
662	 0.353172231738789 
663	 0.353685847544174 
664	 0.354046420403509 
665	 0.354492639513006 
666	 0.354946228822732 
667	 0.355303702032044 
668	 0.355744381721729 
669	 0.356183256980927 
670	 0.35660496370751 
671	 0.35705032792309 
672	 0.35741161062304 
673	 0.35779968796755 
674	 0.358275194667177 
675	 0.358684327235431 
676	 0.359168316977682 
677	 0.359653520427849 
678	 0.360008789853587 
679	 0.360389641204597 
680	 0.360814465200303 
681	 0.361267639051694 
682	 0.36170626919493 
683	 0.362152456453338 
684	 0.36254207915879 
685	 0.362857544874992 
686	 0.363323915758386 
687	 0.363776789312856 
688	 0.364189387522413 
689	 0.364629268545884 
690	 0.365006468082691 
691	 0.365383895302373 
692	 0.365807827637526 
693	 0.366253711217329 
694	 0.366672688146084 
695	 0.367072786077443 
696	 0.367470259687746 
697	 0.367780275145946 
698	 0.368126852659041 
699	 0.368547864752021 
700	 0.368976443471044 
701	 0.369363735727247 
702	 0.36970062942217 
703	 0.370010533453906 
704	 0.37037089490168 
705	 0.370745232730238 
706	 0.371079908156205 
707	 0.37133951732765 
708	 0.371720646571205 
709	 0.372078743623747 
710	 0.372348023907946 
711	 0.372628908716804 
712	 0.3729038970088 
713	 0.373132828546489 
714	 0.37331899290076 
715	 0.373665346680151 
716	 0.373961196809939 
717	 0.374159429117921 
718	 0.374342213054433 
719	 0.374537600521233 
720	 0.37466708131665 
721	 0.374718273306893 
722	 0.374832611838669 
723	 0.375003278432248 
724	 0.375140676288771 
725	 0.37516091424511 
726	 0.375183479825589 
727	 0.375155552540827 
728	 0.375107863981172 
729	 0.375144257152503 
730	 0.375124580002877 
731	 0.375048327260999 
732	 0.374928669506436 
733	 0.374730245687056 
734	 0.374610840634595 
735	 0.374504336024702 
736	 0.374277529545072 
737	 0.374030989873086 
738	 0.373755966777014 
739	 0.3734581919095 
740	 0.373164500836275 
741	 0.37281612752214 
742	 0.372412533886232 
743	 0.371992124017835 
744	 0.371673711368351 
745	 0.37125572364445 
746	 0.370748102366485 
747	 0.370257481620398 
748	 0.369775456329597 
749	 0.369218132699606 
750	 0.368621851330809 
751	 0.36816824630312 
752	 0.367565987980017 
753	 0.366883874240396 
754	 0.366235263281532 
755	 0.365600877444235 
756	 0.364986840765416 
757	 0.364337654098818 
758	 0.363592548904904 
759	 0.362888610459705 
760	 0.36217036463586 
761	 0.36140538533815 
762	 0.360614313260386 
763	 0.359932017458732 
764	 0.359219584848405 
765	 0.358374933801807 
766	 0.357593364311315 
767	 0.356861308698623 
768	 0.356089886710934 
769	 0.355188707069796 
770	 0.354361877319842 
771	 0.353577884312288 
772	 0.352780782949629 
773	 0.351917393063583 
774	 0.351122047276663 
775	 0.350308844360346 
776	 0.349418881139613 
777	 0.348604928587533 
778	 0.347804978875018 
779	 0.347008702319949 
780	 0.346216032305434 
781	 0.345349168428481 
782	 0.344504099957918 
783	 0.343706499550185 
784	 0.342897804995137 
785	 0.342113822663465 
786	 0.341329596933962 
787	 0.340530614233831 
788	 0.33974779754195 
789	 0.339033175704096 
790	 0.338283875607891 
791	 0.337400295138781 
792	 0.336617600459508 
793	 0.3358823169914 
794	 0.335165709152924 
795	 0.334466150500476 
796	 0.333671106552024 
797	 0.332910542775721 
798	 0.332259672436182 
799	 0.331629175521995 
800	 0.330957018644064 
801	 0.330222597157544 
