Wavelength	LMW_1500003.asd
976	 6.82099067306578E-02 
977	 6.81973774540135E-02 
978	 6.82040390355802E-02 
979	 6.83161034004534E-02 
980	 6.82606549653299E-02 
981	 6.81478738095905E-02 
982	 6.80844632285989E-02 
983	 6.81290759840568E-02 
984	 6.82225495698392E-02 
985	 6.82524080344042E-02 
986	 6.82004645972648E-02 
987	 6.81398245775903E-02 
988	 6.82527041865106E-02 
989	 0.068320775235493 
990	 0.068317865939461 
991	 6.83121611460785E-02 
992	 0.068230786960146 
993	 6.82013854668137E-02 
994	 6.83168821381497E-02 
995	 6.85353431822164E-02 
996	 6.84328631415878E-02 
997	 6.83117161198353E-02 
998	 0.068314013223536 
999	 0.06844428988244 
1000	 6.85423508114256E-02 
1001	 6.76742151332811E-02 
1002	 6.76279411719465E-02 
1003	 6.76712344455207E-02 
1004	 0.067683618547825 
1005	 6.77338342253512E-02 
1006	 6.77273095173959E-02 
1007	 6.77123626405407E-02 
1008	 6.76072538026188E-02 
1009	 6.75142478635384E-02 
1010	 0.067551500123145 
1011	 6.75884206995406E-02 
1012	 6.76131755208957E-02 
1013	 6.76400300734285E-02 
1014	 6.75840001300202E-02 
1015	 6.74784016086408E-02 
1016	 0.067396447017498 
1017	 6.73645723937435E-02 
1018	 6.73542466554739E-02 
1019	 6.73745958340371E-02 
1020	 6.74026718000423E-02 
1021	 6.74307663295974E-02 
1022	 6.74099873776917E-02 
1023	 6.73457883633608E-02 
1024	 6.73260830625582E-02 
1025	 6.73633732989884E-02 
1026	 6.74062403640078E-02 
1027	 6.74357029617872E-02 
1028	 6.74203411608262E-02 
1029	 6.73119707239086E-02 
1030	 6.72248566408225E-02 
1031	 6.72009672168856E-02 
1032	 6.72226015466774E-02 
1033	 0.067234308767652 
1034	 6.72671199430187E-02 
1035	 6.72665982536551E-02 
1036	 6.71786782343018E-02 
1037	 6.71422275244366E-02 
1038	 6.71218024231932E-02 
1039	 6.71135367306503E-02 
1040	 6.71443411241549E-02 
1041	 6.71599179487498E-02 
1042	 6.71790473786756E-02 
1043	 6.71312693059812E-02 
1044	 6.71033097574837E-02 
1045	 6.70560249002674E-02 
1046	 6.70301696208454E-02 
1047	 6.69822391576029E-02 
1048	 6.70071559480257E-02 
1049	 6.70294838612726E-02 
1050	 6.70429236505519E-02 
1051	 0.067106717119398 
1052	 6.71327024820097E-02 
1053	 6.71585187724857E-02 
1054	 0.067160494637494 
1055	 6.71192698319749E-02 
1056	 0.067108968175852 
1057	 0.067095260143527 
1058	 6.70714506910923E-02 
1059	 6.70635414107569E-02 
1060	 6.70639120576713E-02 
1061	 0.067065667808351 
1062	 6.71011994061066E-02 
1063	 6.71293612738872E-02 
1064	 6.71600795767573E-02 
1065	 6.72124285079353E-02 
1066	 6.72292078079338E-02 
1067	 6.72487726875675E-02 
1068	 6.72941557702676E-02 
1069	 6.73144017920065E-02 
1070	 6.73286740771504E-02 
1071	 6.73386734493922E-02 
1072	 6.73441988116295E-02 
1073	 0.067326120768954 
1074	 6.73455826447361E-02 
1075	 6.73908907078473E-02 
1076	 6.74118279470664E-02 
1077	 6.74550821879718E-02 
1078	 6.74410173996076E-02 
1079	 6.74087286999418E-02 
1080	 6.74249368862171E-02 
1081	 6.74233665771952E-02 
1082	 0.067423122583817 
1083	 6.74197948636071E-02 
1084	 6.73841994783449E-02 
1085	 6.73983308946051E-02 
1086	 6.74670146433507E-02 
1087	 6.74850168007586E-02 
1088	 6.75022920727349E-02 
1089	 6.75214264914307E-02 
1090	 6.74955743254087E-02 
1091	 6.74438325732405E-02 
1092	 6.74475473482821E-02 
1093	 6.74348502792006E-02 
1094	 0.067399880388192 
1095	 6.74075586460249E-02 
1096	 6.74248033606468E-02 
1097	 6.74368192502091E-02 
1098	 6.74345001957933E-02 
1099	 6.74342247917632E-02 
1100	 6.74257495259537E-02 
1101	 6.73878764055115E-02 
1102	 6.73783449989228E-02 
1103	 6.73939277477681E-02 
1104	 6.73982970901602E-02 
1105	 6.73830232622841E-02 
1106	 6.73837325068017E-02 
1107	 6.73649173851245E-02 
1108	 6.73494847049798E-02 
1109	 6.73320408000875E-02 
1110	 6.72820485479141E-02 
1111	 6.72602790591518E-02 
1112	 6.72425594625217E-02 
1113	 6.72252208755657E-02 
1114	 6.72150052717355E-02 
1115	 6.72156326741992E-02 
1116	 6.72346682691306E-02 
1117	 6.72211646572575E-02 
1118	 6.72013702077419E-02 
1119	 6.71879440228386E-02 
1120	 6.71432711321826E-02 
1121	 6.70920558230664E-02 
1122	 6.70886913665656E-02 
1123	 0.0670947252771 
1124	 6.70868094074516E-02 
1125	 0.067085979514809 
1126	 6.70779376093302E-02 
1127	 6.70537884555319E-02 
1128	 6.70417976663929E-02 
1129	 6.70412519608894E-02 
1130	 6.70282652565745E-02 
1131	 6.70113634677812E-02 
1132	 6.69975432644993E-02 
1133	 6.69774870790177E-02 
1134	 0.066965061995832 
1135	 6.69702531660479E-02 
1136	 6.69474309139364E-02 
1137	 6.69337562942791E-02 
1138	 6.69083897860061E-02 
1139	 6.68899980753787E-02 
1140	 6.68644014082705E-02 
1141	 6.68555283038666E-02 
1142	 6.68665710995864E-02 
1143	 6.68544435063252E-02 
1144	 6.68353757035397E-02 
1145	 6.68193121203825E-02 
1146	 6.67881344491923E-02 
1147	 6.67694927468856E-02 
1148	 6.67649143264155E-02 
1149	 6.67511387103158E-02 
1150	 0.066732132385591 
1151	 6.67205667257889E-02 
1152	 6.66968818072329E-02 
1153	 6.66900555010748E-02 
1154	 6.66823175516635E-02 
1155	 6.66816656202229E-02 
1156	 6.66755527167762E-02 
1157	 6.66692432303287E-02 
1158	 0.066662863448463 
1159	 6.66513154940202E-02 
1160	 6.66506239190429E-02 
1161	 6.66629984201751E-02 
1162	 6.66623643711714E-02 
1163	 6.66689140780851E-02 
1164	 0.066657586578859 
1165	 6.66183398149997E-02 
1166	 6.65967297498989E-02 
1167	 0.066569211859496 
1168	 6.65650596997924E-02 
1169	 6.65623272263814E-02 
1170	 6.65784239057766E-02 
1171	 6.65770232035097E-02 
1172	 0.066575834731754 
1173	 6.65678027227381E-02 
1174	 6.65516632094437E-02 
1175	 6.65395270689702E-02 
1176	 6.65162051097544E-02 
1177	 6.65108542194611E-02 
1178	 6.65140712050008E-02 
1179	 6.65176215957184E-02 
1180	 6.65432493979798E-02 
1181	 6.65515288957002E-02 
1182	 6.65559286378095E-02 
1183	 6.65476535437143E-02 
1184	 6.65403752057259E-02 
1185	 6.65176101732219E-02 
1186	 0.066518646737493 
1187	 0.066529389894771 
1188	 6.65353906491657E-02 
1189	 6.65511496115637E-02 
1190	 6.65605231175784E-02 
1191	 6.65658603423229E-02 
1192	 6.65696099650941E-02 
