Wavelength	LMW_13_a00001.asd
455	 0.076943575869004 
456	 7.81027401312092E-02 
457	 7.90760220979621E-02 
458	 7.98291063924758E-02 
459	 8.04801155915105E-02 
460	 8.12468511775131E-02 
461	 8.20574691569184E-02 
462	 8.28505224319988E-02 
463	 8.36146235277274E-02 
464	 8.45923212697617E-02 
465	 8.56203533911654E-02 
466	 8.65008237685327E-02 
467	 8.74292536942522E-02 
468	 8.80505625415136E-02 
469	 8.85159115072829E-02 
470	 8.93656293707533E-02 
471	 9.04949569377447E-02 
472	 9.13255951905497E-02 
473	 9.16782514230292E-02 
474	 9.24860118080485E-02 
475	 9.31805652131959E-02 
476	 9.37691087462458E-02 
477	 9.44732365367012E-02 
478	 9.52226360020847E-02 
479	 9.58132585895238E-02 
480	 9.62758964499457E-02 
481	 9.69744981818094E-02 
482	 9.76741242733217E-02 
483	 9.83546442236131E-02 
484	 0.099005818982821 
485	 9.94273113529229E-02 
486	 9.98137887893315E-02 
487	 0.100208980923675 
488	 0.100547665410517 
489	 0.101336117657491 
490	 0.101894918149865 
491	 0.101860047875775 
492	 0.102106421204225 
493	 0.102473362178134 
494	 0.102853627214212 
495	 0.103172540178841 
496	 0.103634548532033 
497	 0.103879005737122 
498	 0.103915261425272 
499	 0.10438137107657 
500	 0.104587365284702 
501	 0.104652844132279 
502	 0.104849960556381 
503	 0.105017367428037 
504	 0.10509687900789 
505	 0.105127907459184 
506	 0.105233933426501 
507	 0.105506042965663 
508	 0.105694376968707 
509	 0.105660878843005 
510	 0.105733400466424 
511	 0.105829686811313 
512	 0.105901527197594 
513	 0.10592938683797 
514	 0.106010838533118 
515	 0.106196041899249 
516	 0.106422781831082 
517	 0.106454925430374 
518	 0.106405310014934 
519	 0.10632303724945 
520	 0.106265735533446 
521	 0.106419134791299 
522	 0.106549301468116 
523	 0.106577776983306 
524	 0.106612954538863 
525	 0.106700641349997 
526	 0.106753272163283 
527	 0.106712686792016 
528	 0.106691036076902 
529	 0.106842439077899 
530	 0.107041245131225 
531	 0.10700908684236 
532	 0.107002862928546 
533	 0.107064094031377 
534	 0.107160131766825 
535	 0.107162190915429 
536	 0.107238520973502 
537	 0.107363243961345 
538	 0.107450111485759 
539	 0.107579993716422 
540	 0.107638446650137 
541	 0.107650663182396 
542	 0.107844216527268 
543	 0.1079992572993 
544	 0.108085649821677 
545	 0.108160763592968 
546	 0.108420180099049 
547	 0.108598005462661 
548	 0.108672037655508 
549	 0.108828622475892 
550	 0.10893043881184 
551	 0.109009600555389 
552	 0.109137883192621 
553	 0.109435038148059 
554	 0.109618960365322 
555	 0.109732597844746 
556	 0.109966174915833 
557	 0.110126961856486 
558	 0.110292278711733 
559	 0.110532904289948 
560	 0.110866868205173 
561	 0.111145747815537 
562	 0.11138163542724 
563	 0.111629852315212 
564	 0.11182007758772 
565	 0.112051879450862 
