Wavelength	MM_3200001.asd
1075	 7.02466291328335E-02 
1076	 7.02404904799356E-02 
1077	 7.02464009518873E-02 
1078	 7.02613774180611E-02 
1079	 0.070266706828305 
1080	 7.02962735746999E-02 
1081	 7.03086877784646E-02 
1082	 7.03268048123903E-02 
1083	 7.03318324079644E-02 
1084	 7.03255620336522E-02 
1085	 7.03308384832682E-02 
1086	 7.03338875677533E-02 
1087	 7.03383002309877E-02 
1088	 7.03431852653479E-02 
1089	 7.03632829166415E-02 
1090	 7.04089269099066E-02 
1091	 7.04176833546262E-02 
1092	 7.04442088936909E-02 
1093	 7.04990183357403E-02 
1094	 7.04881806723153E-02 
1095	 0.070460546072946 
1096	 7.04279760096436E-02 
1097	 7.04047669101797E-02 
1098	 7.04052648009292E-02 
1099	 7.04360355655399E-02 
1100	 7.04504394102324E-02 
1101	 7.04812808028338E-02 
1102	 7.04913228559561E-02 
1103	 7.04924741788378E-02 
1104	 7.04828046420436E-02 
1105	 7.04584602510942E-02 
1106	 7.04690401290452E-02 
1107	 7.04555867495399E-02 
1108	 7.04462663760558E-02 
1109	 7.04702637836136E-02 
1110	 7.04482333400897E-02 
1111	 7.04505511618289E-02 
1112	 7.04734803813918E-02 
1113	 7.04788207747494E-02 
1114	 7.04792670482844E-02 
1115	 7.04811133513496E-02 
1116	 7.04594196539915E-02 
1117	 7.04588920283396E-02 
1118	 7.04642719087226E-02 
1119	 7.04861090325774E-02 
1120	 7.05212799595313E-02 
1121	 7.05688211070709E-02 
1122	 7.05960834981562E-02 
1123	 7.06094046896559E-02 
1124	 7.06117213038186E-02 
1125	 0.070583186535224 
1126	 7.05810510197342E-02 
1127	 0.070588983380535 
1128	 7.05865307276871E-02 
1129	 7.05818705644316E-02 
1130	 7.05838665075172E-02 
1131	 7.05880638545115E-02 
1132	 7.05804407778741E-02 
1133	 7.05787104246816E-02 
1134	 7.05697850393632E-02 
1135	 7.05429780649464E-02 
1136	 7.05215803617343E-02 
1137	 7.05001586188785E-02 
1138	 7.04843933836672E-02 
1139	 7.04846232462025E-02 
1140	 7.04896780794344E-02 
1141	 7.05070648043401E-02 
1142	 7.05588213829344E-02 
1143	 7.05689505190189E-02 
1144	 0.070567211173202 
1145	 7.05660238152328E-02 
1146	 0.070539995794016 
1147	 7.05309222683203E-02 
1148	 7.05374769014159E-02 
1149	 7.05337336994843E-02 
1150	 7.05242568289284E-02 
1151	 7.05190360580081E-02 
1152	 7.05024662450387E-02 
1153	 7.04924603836017E-02 
1154	 7.04938786908439E-02 
1155	 7.05083028976051E-02 
1156	 0.070501975174214 
1157	 7.04908821691956E-02 
1158	 7.04901977089569E-02 
1159	 7.04871512478528E-02 
1160	 7.04829879833117E-02 
1161	 7.04933874553427E-02 
1162	 7.04897534447515E-02 
1163	 0.070453276301336 
1164	 7.04468792794784E-02 
1165	 7.04505505106624E-02 
1166	 7.04686792190122E-02 
1167	 7.04991817465167E-02 
1168	 7.05175982295684E-02 
1169	 7.05259009186417E-02 
1170	 7.05149754563251E-02 
1171	 7.05305609604561E-02 
1172	 7.05613382125724E-02 
1173	 7.05670936664328E-02 
1174	 7.05720425514023E-02 
1175	 7.05779075030813E-02 
1176	 7.05532368396712E-02 
1177	 7.05552977918307E-02 
1178	 7.05866422241685E-02 
1179	 7.06045236006187E-02 
1180	 7.06256405926128E-02 
1181	 7.06402798170116E-02 
1182	 7.06424491147841E-02 
1183	 7.06482829366799E-02 
1184	 7.06750574357429E-02 
1185	 7.07156964822145E-02 
1186	 7.07384336134545E-02 
1187	 7.07809218969248E-02 
1188	 0.070790549517724 
1189	 7.07574879495782E-02 
1190	 7.07617903166033E-02 
1191	 0.070771437966044 
1192	 7.07856060897826E-02 
1193	 7.08154999980488E-02 
1194	 7.08434963413389E-02 
1195	 7.08810762885818E-02 
1196	 7.09039627162017E-02 
1197	 0.07091535702897 
1198	 0.070938298872316 
1199	 7.09619184481306E-02 
1200	 7.09802580514975E-02 
1201	 7.09950652164429E-02 
1202	 7.10154133779689E-02 
1203	 0.071037109748493 
1204	 7.10440815994317E-02 
1205	 7.10678558861487E-02 
1206	 7.11161972173598E-02 
1207	 7.11441208152196E-02 
1208	 7.11679965240284E-02 
1209	 7.11857458271034E-02 
1210	 0.071183811339662 
1211	 7.12010022754651E-02 
1212	 7.12352660510598E-02 
1213	 7.12507312409197E-02 
1214	 7.12527933580493E-02 
1215	 7.12740269195269E-02 
1216	 7.12984919461189E-02 
1217	 7.13144203312958E-02 
1218	 7.13370591373554E-02 
1219	 7.13850738307669E-02 
1220	 7.14077627901232E-02 
1221	 0.071404785870361 
1222	 0.071425183173064 
1223	 7.14603196524983E-02 
1224	 7.14791622835918E-02 
1225	 7.14954659950384E-02 
1226	 7.15138331670127E-02 
1227	 7.15201009077977E-02 
1228	 7.15343432896185E-02 
1229	 7.15654385261313E-02 
1230	 7.15824477079008E-02 
1231	 7.15845257872262E-02 
1232	 7.15971438650191E-02 
1233	 7.16114556809776E-02 
1234	 7.16245945561558E-02 
1235	 7.16368469817267E-02 
1236	 7.16554399094759E-02 
1237	 7.16694518967197E-02 
1238	 7.16736100089281E-02 
1239	 7.16888362738166E-02 
1240	 7.17217576872675E-02 
1241	 7.17312584922806E-02 
1242	 7.17241349605527E-02 
1243	 7.17317300616805E-02 
1244	 7.17312443234694E-02 
1245	 7.17386584662433E-02 
1246	 7.17580472290048E-02 
1247	 7.17814423137147E-02 
1248	 7.18227292807115E-02 
1249	 7.18355398126529E-02 
1250	 7.18459188108967E-02 
1251	 7.18699760972431E-02 
1252	 7.18830389732583E-02 
1253	 7.18796930564205E-02 
1254	 7.18859918557948E-02 
1255	 7.18980951437896E-02 
1256	 7.19094339639862E-02 
1257	 7.19154079148844E-02 
1258	 7.19278319755791E-02 
1259	 7.19529072953338E-02 
1260	 7.19659882048597E-02 
1261	 7.19795598662375E-02 
1262	 7.19823352517526E-02 
1263	 7.19772450545775E-02 
1264	 7.19672196448786E-02 
1265	 0.07192987725539 
1266	 7.19191132960156E-02 
1267	 7.19200398107694E-02 
1268	 7.19222679193437E-02 
1269	 7.19288534683845E-02 
1270	 7.19524866283804E-02 
1271	 7.19660233933221E-02 
1272	 7.19712518899933E-02 
1273	 7.19855747706651E-02 
1274	 7.20111256771142E-02 
1275	 7.20305096462101E-02 
1276	 7.20467154287412E-02 
1277	 7.20662572302052E-02 
1278	 7.20826917358603E-02 
1279	 7.21048107333313E-02 
