Wavelength	LMW7 profile 200015.asd
449	 0.158821730577253 
450	 0.161566195823582 
451	 0.164683718741409 
452	 0.167193921029807 
453	 0.169847270021865 
454	 0.17251717510198 
455	 0.174997700911001 
456	 0.177211852559125 
457	 0.179668230745929 
458	 0.182186868503743 
459	 0.184321665365022 
460	 0.186364908995579 
461	 0.188220058021395 
462	 0.189882591656344 
463	 0.191507611121759 
464	 0.193336260977628 
465	 0.195149882472378 
466	 0.196707506353959 
467	 0.198227432713693 
468	 0.19989210419143 
469	 0.2015369864812 
470	 0.202756244354902 
471	 0.203893407306431 
472	 0.205120024854662 
473	 0.206456316314882 
474	 0.207629073605932 
475	 0.208903075000713 
476	 0.210191188322906 
477	 0.211300482356956 
478	 0.212462806567281 
479	 0.213644040830834 
480	 0.214845762234381 
481	 0.216156838132553 
482	 0.217257874319635 
483	 0.218318853950744 
484	 0.219525256501254 
485	 0.220551954920203 
486	 0.221411983014638 
487	 0.222251064848383 
488	 0.223300049439572 
489	 0.224399891744081 
490	 0.225561660471371 
491	 0.226739483419471 
492	 0.227662570204559 
493	 0.22857608948203 
494	 0.22956479431746 
495	 0.230618616375611 
496	 0.231611603483682 
497	 0.232705756376972 
498	 0.233897080590332 
499	 0.234899968615402 
500	 0.235900411527279 
501	 0.236811902646042 
502	 0.237587569734202 
503	 0.238695893414288 
504	 0.23974772444018 
505	 0.240648332877555 
506	 0.241595934024954 
507	 0.242581169171369 
508	 0.243544315928154 
509	 0.244455541439129 
510	 0.245401995282322 
511	 0.246363647545026 
512	 0.247303135468956 
513	 0.248187945863972 
514	 0.249108206552926 
515	 0.250007983127185 
516	 0.250889705937351 
517	 0.251889886021979 
518	 0.252845505956718 
519	 0.253672564961123 
520	 0.254392298478137 
521	 0.255392597038659 
522	 0.256413355489167 
523	 0.25732957856876 
524	 0.258198777565545 
525	 0.259069525837225 
526	 0.259910598404443 
527	 0.260716591929404 
528	 0.26163966363232 
529	 0.262485718834232 
530	 0.263300497308007 
531	 0.26426582608691 
532	 0.265152731513819 
533	 0.266052079826393 
534	 0.266990539600178 
535	 0.267738360057533 
536	 0.268632738527825 
537	 0.269598538934863 
538	 0.270425255154048 
539	 0.271204680300057 
540	 0.272009454059983 
541	 0.272860623084625 
542	 0.273712125216563 
543	 0.274605488802872 
544	 0.275492149883866 
545	 0.276330475256936 
546	 0.277212209591081 
547	 0.278062269271498 
548	 0.278901681794756 
549	 0.279827325733393 
550	 0.280672048715454 
551	 0.281511492033861 
552	 0.282431944322607 
553	 0.283440869361056 
